serid,type,time
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-2ModelGetPbb,1.99962
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-Concat,0.00019
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-2ModelPredict,102.55235
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-2ModelGetPbb,1.40599
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-Concat,0.00014
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,1.00161
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Preprocess-Python,18.87547
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-PrepareLoader,0.00006
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00071
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00058
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-PatchPrediction,23.14916
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation-MergeResult,0.16333
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,LungLeaf-FissureSegmentation,4.39407
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-GeneratePatches,7.93078
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-SplitPatches,0.00018
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00274
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,1.00171
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00054
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00053
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00053
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-Dbscan,9.90594
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,Detection-Relocate,0.00171
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-Dbscan,24.09116
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,Detection-Relocate,0.00297
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00065
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-AirwayModel,1.62411
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-FpAreaCheck,0.00045
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,1.00156
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00054
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-FpAreaCheck,0.00243
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00057
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-2ModelPredict,105.11422
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,PostProcess-AirwayModel,0.63643
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,PostProcess-FpAreaCheck,0.00052
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-2ModelGetPbb,1.44695
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-Concat,0.00016
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550810225.534294,PostProcess-FpAreaCheck,0.00046
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-NoduleSegmentation,100.71370
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-DensityClassification,7.32880
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,PostProcess-MaliClassification,16.84356
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-FpAreaCheck,0.00048
