serid,type,time
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-Dbscan,7.43001
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,Detection-Relocate,0.06259
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,PostProcess-AirwayModel,0.41158
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Detection-2ModelPredict,79.61775
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Detection-2ModelGetPbb,1.08049
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Detection-Concat,0.00012
1.2.392.200036.9116.2.5.1.37.2424372387.1550811775.7929,Detection-GeneratePatches,13.96076
1.2.392.200036.9116.2.5.1.37.2424372387.1550811775.7929,Detection-SplitPatches,0.00032
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-Dbscan,45.38585
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,Detection-Relocate,0.00167
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Detection-Dbscan,2.77063
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,Detection-Relocate,0.00144
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,PostProcess-AirwayModel,0.63230
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-fpAreaCheck,0.00221
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-NoduleSegmentation,43.31306
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-DensityClassification,1.95989
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,PostProcess-MaliClassification,4.32399
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,LungLeaf-FissurePreproc,1.05923
1.2.392.200036.9116.2.5.1.37.2424372387.1550803369.202398,PostProcess-AirwayModel,0.90665
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,LungLeaf-FissureSegmentation-SlidingWindow,12.77387
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,LungLeaf-FissureSegmentation-PatchPrediction,10.27657
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,LungLeaf-FissureSegmentation-MergeResult,0.06467
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,LungLeaf-FissureSegmentation,29.05086
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,PostProcess-fpAreaCheck,0.00226
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,PostProcess-NoduleSegmentation,46.29291
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,PostProcess-DensityClassification,1.47309
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,PostProcess-MaliClassification,4.72471
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,LungLeaf-FissurePreproc,0.99219
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,LungLeaf-PostProcessingAndDetection,14.18148
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,LungLeaf-PositionPrediction,0.00065
1.2.392.200036.9116.2.5.1.37.2424372387.1550809995.331056,LungLeaf-FissureSegmentation-SlidingWindow,11.15435
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,LungSeg-LungSegPrediction-StageOne,0.10887
1.2.392.200036.9116.2.5.1.37.2424372387.1550810456.615743,LungSeg-LungSegPrediction,0.59392
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,PostProcess-fpAreaCheck,0.00227
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,PostProcess-NoduleSegmentation,46.75073
1.2.392.200036.9116.2.5.1.37.2424372387.1550810549.681580,PostProcess-DensityClassification,1.05671
